name,value,year,lastValue
Accenture,,2003.5,5489.4
Accenture,,2003.6,5536.5
Accenture,,2003.7,5583.6
Accenture,,2003.8,5630.7
Accenture,,2003.9,5677.8
Accenture,,2004,5724.9
Accenture,,2004.1,5772
Accenture,,2004.2,5809
Accenture,,2004.3,5846
Accenture,,2004.4,5883
Accenture,,2004.5,5920
Accenture,,2004.6,5957
Accenture,,2004.7,5994
Accenture,,2004.8,6031
Accenture,,2004.9,6068
Accenture,,2005,6105
Accenture,,2005.1,6142
Accenture,,2005.2,6200.6
Accenture,,2005.3,6259.2
Accenture,,2005.4,6317.8
Accenture,,2005.5,6376.4
Accenture,,2005.6,6435
Accenture,,2005.7,6493.6
Accenture,,2005.8,6552.2
Accenture,,2005.9,6610.8
Accenture,,2006,6669.4
Accenture,,2006.1,6728
Accenture,,2006.2,6784.8
Accenture,,2006.3,6841.6
Accenture,,2006.4,6898.4
Accenture,,2006.5,6955.2
Accenture,,2006.6,7012
Accenture,,2006.7,7068.8
Accenture,,2006.8,7125.6
Accenture,,2006.9,7182.4
Accenture,,2007,7239.2
Accenture,,2007.1,7296
Accenture,,2007.2,7361.2
Accenture,,2007.3,7426.4
Accenture,,2007.4,7491.6
Accenture,,2007.5,7556.8
Accenture,,2007.6,7622
Accenture,,2007.7,7687.2
Accenture,,2007.8,7752.4
Accenture,,2007.9,7817.6
Accenture,,2008,7882.8
Accenture,,2008.1,7948
Accenture,,2008.2,7924.2
Accenture,,2008.3,7900.4
Accenture,,2008.4,7876.6
Accenture,,2008.5,7852.8
Accenture,,2008.6,7829
Accenture,,2008.7,7805.2
Accenture,,2008.8,7781.4
Accenture,,2008.9,7757.6
Accenture,,2009,7733.8
Accenture,,2009.1,7710
Accenture,,2009.2,7687.1
Accenture,,2009.3,7664.2
Accenture,,2009.4,7641.3
Accenture,,2009.5,7618.4
Accenture,,2009.6,7595.5
Accenture,,2009.7,7572.6
Accenture,,2009.8,7549.7
Accenture,,2009.9,7526.8
Accenture,,2010,7503.9
Accenture,,2010.1,7481
Accenture,,2010.2,7533.4
Accenture,,2010.3,7585.8
Accenture,,2010.4,7638.2
Accenture,,2010.5,7690.6
Accenture,,2010.6,7743
Accenture,,2010.7,7795.4
Accenture,,2010.8,7847.8
Accenture,,2010.9,7900.2
Accenture,,2011,7952.6
Accenture,,2011.1,8005
Accenture,,2011.2,8079
Accenture,,2011.3,8153
Accenture,,2011.4,8227
Accenture,,2011.5,8301
Accenture,,2011.6,8375
Accenture,,2011.7,8449
Accenture,,2011.8,8523
Accenture,,2011.9,8597
Accenture,,2012,8671
Accenture,,2012.1,8745
Accenture,,2012.2,8817.6
Accenture,,2012.3,8890.2
Accenture,,2012.4,8962.8
Accenture,,2012.5,9035.4
Accenture,,2012.6,9108
Accenture,,2012.7,9180.6
Accenture,,2012.8,9253.2
Accenture,,2012.9,9325.8
Accenture,,2013,9398.4
Accenture,,2013.1,9471
Accenture,,2013.2,9512.1
Accenture,,2013.3,9553.2
Accenture,,2013.4,9594.3
Accenture,,2013.5,9635.4
Accenture,,2013.6,9676.5
Accenture,,2013.7,9717.6
Accenture,,2013.8,9758.7
Accenture,,2013.9,9799.8
Accenture,,2014,9840.9
Accenture,,2014.1,9882
Accenture,,2014.2,9973.8
Accenture,,2014.3,10065.6
Accenture,,2014.4,10157.4
Accenture,,2014.5,10249.2
Accenture,,2014.6,10341
Accenture,,2014.7,10432.8
Accenture,,2014.8,10524.6
Accenture,,2014.9,10616.4
Accenture,,2015,10708.2
Accenture,,2015.1,10800
Accenture,,2015.2,10923.3
Accenture,,2015.3,11046.6
Accenture,,2015.4,11169.9
Accenture,,2015.5,11293.2
Accenture,,2015.6,11416.5
Accenture,,2015.7,11539.8
Accenture,,2015.8,11663.1
Accenture,,2015.9,11786.4
Accenture,,2016,11909.7
Accenture,,2016.1,12033
Accenture,,2016.2,12076.8
Accenture,,2016.3,12120.6
Accenture,,2016.4,12164.4
Accenture,,2016.5,12208.2
Accenture,,2016.6,12252
Accenture,,2016.7,12295.8
Accenture,,2016.8,12339.6
Accenture,,2016.9,12383.4
Accenture,,2017,12427.2
Accenture,,2017.1,12471
Accenture,,2017.2,12645.3
Accenture,,2017.3,12819.6
Accenture,,2017.4,12993.9
Accenture,,2017.5,13168.2
Accenture,,2017.6,13342.5
Accenture,,2017.7,13516.8
Accenture,,2017.8,13691.1
Accenture,,2017.9,13865.4
Accenture,,2018,14039.7
adidas,,2000,3791
adidas,,2000.1,3791
adidas,,2000.2,3776.9
adidas,,2000.3,3762.8
adidas,,2000.4,3748.7
adidas,,2000.5,3734.6
adidas,,2000.6,3720.5
adidas,,2000.7,3706.4
adidas,,2000.8,3692.3
adidas,,2000.9,3678.2
adidas,,2001,3664.1
adidas,,2001.1,3650
adidas,,2001.2,3654
adidas,,2001.3,3658
adidas,,2001.4,3662
adidas,,2001.5,3666
adidas,,2001.6,3670
adidas,,2001.7,3674
adidas,,2001.8,3678
adidas,,2001.9,3682
adidas,,2002,3686
adidas,,2002.1,3690
adidas,,2002.2,3688.9
adidas,,2002.3,3687.8
adidas,,2002.4,3686.7
adidas,,2002.5,3685.6
adidas,,2002.6,3684.5
adidas,,2002.7,3683.4
adidas,,2002.8,3682.3
adidas,,2002.9,3681.2
adidas,,2003,3680.1
adidas,,2003.1,3679
adidas,,2003.2,3685.1
adidas,,2003.3,3691.2
adidas,,2003.4,3697.3
adidas,,2003.5,3703.4
adidas,,2003.6,3709.5
adidas,,2003.7,3715.6
adidas,,2003.8,3721.7
adidas,,2003.9,3727.8
adidas,,2004,3733.9
adidas,,2004.1,3740
adidas,,2004.2,3769.3
adidas,,2004.3,3798.6
adidas,,2004.4,3827.9
adidas,,2004.5,3857.2
adidas,,2004.6,3886.5
adidas,,2004.7,3915.8
adidas,,2004.8,3945.1
adidas,,2004.9,3974.4
adidas,,2005,4003.7
adidas,,2005.1,4033
adidas,,2005.2,4058.7
adidas,,2005.3,4084.4
adidas,,2005.4,4110.1
adidas,,2005.5,4135.8
adidas,,2005.6,4161.5
adidas,,2005.7,4187.2
adidas,,2005.8,4212.9
adidas,,2005.9,4238.6
adidas,,2006,4264.3
adidas,,2006.1,4290
adidas,,2006.2,4337.7
adidas,,2006.3,4385.4
adidas,,2006.4,4433.1
adidas,,2006.5,4480.8
adidas,,2006.6,4528.5
adidas,,2006.7,4576.2
adidas,,2006.8,4623.9
adidas,,2006.9,4671.6
adidas,,2007,4719.3
adidas,,2007.1,4767
adidas,,2007.2,4797.5
adidas,,2007.3,4828
adidas,,2007.4,4858.5
adidas,,2007.5,4889
adidas,,2007.6,4919.5
adidas,,2007.7,4950
adidas,,2007.8,4980.5
adidas,,2007.9,5011
adidas,,2008,5041.5
adidas,,2008.1,5072
adidas,,2008.2,5104.5
adidas,,2008.3,5137
adidas,,2008.4,5169.5
adidas,,2008.5,5202
adidas,,2008.6,5234.5
adidas,,2008.7,5267
adidas,,2008.8,5299.5
adidas,,2008.9,5332
adidas,,2009,5364.5
adidas,,2009.1,5397
adidas,,2009.2,5406.8
adidas,,2009.3,5416.6
adidas,,2009.4,5426.4
adidas,,2009.5,5436.2
adidas,,2009.6,5446
adidas,,2009.7,5455.8
adidas,,2009.8,5465.6
adidas,,2009.9,5475.4
adidas,,2010,5485.2
adidas,,2010.1,5495
adidas,,2010.2,5560.9
adidas,,2010.3,5626.8
adidas,,2010.4,5692.7
adidas,,2010.5,5758.6
adidas,,2010.6,5824.5
adidas,,2010.7,5890.4
adidas,,2010.8,5956.3
adidas,,2010.9,6022.2
adidas,,2011,6088.1
adidas,,2011.1,6154
adidas,,2011.2,6208.5
adidas,,2011.3,6263
adidas,,2011.4,6317.5
adidas,,2011.5,6372
adidas,,2011.6,6426.5
adidas,,2011.7,6481
adidas,,2011.8,6535.5
adidas,,2011.9,6590
adidas,,2012,6644.5
adidas,,2012.1,6699
adidas,,2012.2,6782.6
adidas,,2012.3,6866.2
adidas,,2012.4,6949.8
adidas,,2012.5,7033.4
adidas,,2012.6,7117
adidas,,2012.7,7200.6
adidas,,2012.8,7284.2
adidas,,2012.9,7367.8
adidas,,2013,7451.4
adidas,,2013.1,7535
adidas,,2013.2,7519.3
adidas,,2013.3,7503.6
adidas,,2013.4,7487.9
adidas,,2013.5,7472.2
adidas,,2013.6,7456.5
adidas,,2013.7,7440.8
adidas,,2013.8,7425.1
adidas,,2013.9,7409.4
adidas,,2014,7393.7
adidas,,2014.1,7378
adidas,,2014.2,7321.3
adidas,,2014.3,7264.6
adidas,,2014.4,7207.9
adidas,,2014.5,7151.2
adidas,,2014.6,7094.5
adidas,,2014.7,7037.8
adidas,,2014.8,6981.1
adidas,,2014.9,6924.4
adidas,,2015,6867.7
adidas,,2015.1,6811
adidas,,2015.2,6918.4
adidas,,2015.3,7025.8
adidas,,2015.4,7133.2
adidas,,2015.5,7240.6
adidas,,2015.6,7348
adidas,,2015.7,7455.4
adidas,,2015.8,7562.8
adidas,,2015.9,7670.2
adidas,,2016,7777.6
adidas,,2016.1,7885
adidas,,2016.2,8018.1
adidas,,2016.3,8151.2
adidas,,2016.4,8284.3
adidas,,2016.5,8417.4
adidas,,2016.6,8550.5
adidas,,2016.7,8683.6
adidas,,2016.8,8816.7
adidas,,2016.9,8949.8
adidas,,2017,9082.9
adidas,,2017.1,9216
adidas,,2017.2,9371.6
adidas,,2017.3,9527.2
adidas,,2017.4,9682.8
adidas,,2017.5,9838.4
adidas,,2017.6,9994
adidas,,2017.7,10149.6
adidas,,2017.8,10305.2
adidas,,2017.9,10460.8
adidas,,2018,10616.4
Adobe,,2000,NA
Adobe,,2000.1,NA
Adobe,,2000.2,NA
Adobe,,2000.3,NA
Adobe,,2000.4,NA
Adobe,,2000.5,NA
Adobe,,2000.6,NA
Adobe,,2000.7,NA
Adobe,,2000.8,NA
Adobe,,2000.9,NA
Adobe,,2001,NA
Adobe,,2001.1,NA
Adobe,,2001.2,NA
Adobe,,2001.3,NA
Adobe,,2001.4,NA
Adobe,,2001.5,NA
Adobe,,2001.6,NA
Adobe,,2001.7,NA
Adobe,,2001.8,NA
Adobe,,2001.9,NA
Adobe,,2002,NA
Adobe,,2002.1,NA
Adobe,,2002.2,NA
Adobe,,2002.3,NA
Adobe,,2002.4,NA
Adobe,,2002.5,NA
Adobe,,2002.6,NA
Adobe,,2002.7,NA
Adobe,,2002.8,NA
Adobe,,2002.9,NA
Adobe,,2003,NA
Adobe,,2003.1,NA
Adobe,,2003.2,NA
Adobe,,2003.3,NA
Adobe,,2003.4,NA
Adobe,,2003.5,NA
Adobe,,2003.6,NA
Adobe,,2003.7,NA
Adobe,,2003.8,NA
Adobe,,2003.9,NA
Adobe,,2004,NA
Adobe,,2004.1,NA
Adobe,,2004.2,NA
Adobe,,2004.3,NA
Adobe,,2004.4,NA
Adobe,,2004.5,NA
Adobe,,2004.6,NA
Adobe,,2004.7,NA
Adobe,,2004.8,NA
Adobe,,2004.9,NA
Adobe,,2005,NA
Adobe,,2005.1,NA
Adobe,,2005.2,NA
Adobe,,2005.3,NA
Adobe,,2005.4,NA
Adobe,,2005.5,NA
Adobe,,2005.6,NA
Adobe,,2005.7,NA
Adobe,,2005.8,NA
Adobe,,2005.9,NA
Adobe,,2006,NA
Adobe,,2006.1,NA
Adobe,,2006.2,NA
Adobe,,2006.3,NA
Adobe,,2006.4,NA
Adobe,,2006.5,NA
Adobe,,2006.6,NA
Adobe,,2006.7,NA
Adobe,,2006.8,NA
Adobe,,2006.9,NA
